COBERTURA,ANIO,MES,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,VALOR,INDICE,ESTATUS
Nacional,2001,Febrero,Metales y Minerales Siderúrgicos,Coque,Toneladas,166830.0,252945.978,129.376,Cifras Definitivas.
Nacional,2001,Febrero,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,470643.0,112422.544,73.101,Cifras Definitivas.
Nacional,2001,Febrero,Metales y Minerales Siderúrgicos,Manganeso,Toneladas,12294.0,11982.32,86.828,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Azufre,Toneladas,66962.0,46074.316,77.182,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Grafito,Toneladas,2837.0,6211.046,470.937,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Barita,Toneladas,12779.0,9530.652,109.483,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Dolomita,Toneladas,57738.0,11489.763,56.147,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Fluorita,Toneladas,62716.0,67452.869,71.157,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Caolin,Toneladas,7802.0,5732.186,110.027,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Arena Silica,Toneladas,148195.0,32109.698,63.99,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Yeso,Toneladas,302607.0,38068.472,70.714,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Fosforita,Toneladas,85040.0,31097.886,105.302,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Wollastonita,Toneladas,939.0,1832.117,24.054,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Celestita,Toneladas,13230.0,6944.956,535.971,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Feldespato,Toneladas,25502.0,11365.3,68.689,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Sal,Toneladas,659244.0,73828.736,89.808,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Diatomita,Toneladas,4833.0,8630.771,45.12,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Sulfato de Sodio,Toneladas,35000.0,26894.0,67.961,Cifras Definitivas.
Nacional,2001,Febrero,Minerales No Metálicos,Sulfato de Magnesio,Toneladas,809.0,701.25,22.549,Cifras Definitivas.
Nacional,2001,Marzo,Metales Preciosos,Oro,Kilogramos,1137.2,92727.111,27.09,Cifras Definitivas.
Nacional,2001,Marzo,Metales Preciosos,Plata,Kilogramos,212411.0,289823.072,95.536,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Plomo,Toneladas,11194.0,53615.519,133.361,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Cobre,Toneladas,33754.0,603468.325,150.788,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Zinc,Toneladas,37137.0,389617.34,112.166,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Antimonio,Toneladas,25.0,0.0,78.947,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Arsenico,Toneladas,184.0,1403.438,430.409,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Bismuto,Toneladas,120.0,9686.547,127.208,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Estaño,Toneladas,1.0,56.301,88.0,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Cadmio,Toneladas,97.0,387.962,78.194,Cifras Definitivas.
Nacional,2001,Marzo,Metales Industriales No Ferrosos,Molibdeno,Toneladas,464.0,21767.854,71.275,Cifras Definitivas.
Nacional,2001,Marzo,Metales y Minerales Siderúrgicos,Carbon No Coquizable,Toneladas,530696.0,160429.527,61.219,Cifras Definitivas.
Nacional,2001,Marzo,Metales y Minerales Siderúrgicos,Coque,Toneladas,185495.0,285491.645,143.851,Cifras Definitivas.
Nacional,2001,Marzo,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,464467.0,122633.242,72.141,Cifras Definitivas.
Nacional,2001,Marzo,Metales y Minerales Siderúrgicos,Manganeso,Toneladas,19775.0,19248.025,139.664,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Azufre,Toneladas,71021.0,48802.396,81.862,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Grafito,Toneladas,2660.0,5815.794,441.555,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Barita,Toneladas,12450.0,9272.931,106.664,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Dolomita,Toneladas,61838.0,12305.663,60.135,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Fluorita,Toneladas,64380.0,69150.449,73.045,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Caolin,Toneladas,7807.0,5696.476,110.097,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Arena Silica,Toneladas,171194.0,36838.394,73.921,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Yeso,Toneladas,291318.0,36396.667,68.076,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Fosforita,Toneladas,90205.0,32942.776,111.698,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Wollastonita,Toneladas,1113.0,2171.614,28.512,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Celestita,Toneladas,14265.0,7488.269,577.901,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Feldespato,Toneladas,30089.0,13391.8,81.044,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Sal,Toneladas,699448.0,78331.182,95.285,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Diatomita,Toneladas,4144.0,7400.355,38.688,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Sulfato de Sodio,Toneladas,42000.0,32272.8,81.553,Cifras Definitivas.
Nacional,2001,Marzo,Minerales No Metálicos,Sulfato de Magnesio,Toneladas,2022.0,1752.692,56.358,Cifras Definitivas.
Nacional,2001,Abril,Metales Preciosos,Oro,Kilogramos,2045.7,160742.081,48.748,Cifras Definitivas.
Nacional,2001,Abril,Metales Preciosos,Plata,Kilogramos,175629.0,230930.283,78.993,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Plomo,Toneladas,11008.0,49092.981,131.145,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Cobre,Toneladas,33678.0,558746.119,150.449,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Zinc,Toneladas,27277.0,269628.357,82.386,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Antimonio,Toneladas,8.0,0.0,25.263,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Arsenico,Toneladas,207.0,1534.33,484.211,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Bismuto,Toneladas,92.0,7191.048,97.527,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Estaño,Toneladas,0.0,12.407,24.0,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Cadmio,Toneladas,96.0,374.262,74.323,Cifras Definitivas.
Nacional,2001,Abril,Metales Industriales No Ferrosos,Molibdeno,Toneladas,509.0,24184.405,78.187,Cifras Definitivas.
Nacional,2001,Abril,Metales y Minerales Siderúrgicos,Carbon No Coquizable,Toneladas,563655.0,170393.033,65.02,Cifras Definitivas.
Nacional,2001,Abril,Metales y Minerales Siderúrgicos,Coque,Toneladas,179685.0,272774.408,139.346,Cifras Definitivas.
Nacional,2001,Abril,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,484221.0,111002.922,75.209,Cifras Definitivas.
Nacional,2001,Abril,Metales y Minerales Siderúrgicos,Manganeso,Toneladas,3591.0,3396.707,25.362,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Azufre,Toneladas,75294.0,50278.837,86.786,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Grafito,Toneladas,2406.0,5112.061,399.391,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Barita,Toneladas,10817.0,7829.382,92.673,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Dolomita,Toneladas,62833.0,12503.667,61.102,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Fluorita,Toneladas,52457.0,54754.583,59.517,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Caolin,Toneladas,7803.0,5495.84,110.041,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Arena Silica,Toneladas,143599.0,29827.268,62.006,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Yeso,Toneladas,287391.0,34659.118,67.159,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Fosforita,Toneladas,87414.0,31022.873,108.242,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Wollastonita,Toneladas,1055.0,2058.448,27.026,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Celestita,Toneladas,12459.0,6540.227,504.737,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Feldespato,Toneladas,26516.0,11468.6,71.421,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Sal,Toneladas,657297.0,73610.691,89.543,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Diatomita,Toneladas,3578.0,6389.592,33.404,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Sulfato de Sodio,Toneladas,32500.0,24973.0,63.107,Cifras Definitivas.
Nacional,2001,Abril,Minerales No Metálicos,Sulfato de Magnesio,Toneladas,1887.0,1635.673,52.596,Cifras Definitivas.
Nacional,2001,Mayo,Metales Preciosos,Oro,Kilogramos,2256.8,181313.677,53.775,Cifras Definitivas.
Nacional,2001,Mayo,Metales Preciosos,Plata,Kilogramos,261167.0,341066.071,117.465,Cifras Definitivas.
Nacional,2001,Mayo,Metales Industriales No Ferrosos,Plomo,Toneladas,12097.0,51602.016,144.119,Cifras Definitivas.
